PctLess9thGrade,PctNotHSGrad,PctBSorMore,population,ViolentCrimesPerPop,size
5.81,9.9,48.18,11980.0,41.02,small
5.61,13.72,29.89,23123.0,127.56,small
2.8,9.09,30.13,29344.0,218.59,medium
11.05,33.68,10.81,16656.0,306.64,small
8.76,23.03,20.66,140494.0,442.95,large
4.49,13.89,27.01,28700.0,226.63,medium
10.09,28.67,12.0,59459.0,439.73,large
5.52,11.27,30.24,74111.0,115.31,large
13.01,31.62,17.02,103590.0,1544.24,large
9.07,24.86,19.23,31601.0,722.02,medium
14.03,34.18,11.64,25158.0,2605.96,medium
15.28,28.52,23.41,40641.0,798.39,medium
14.49,34.5,16.56,57140.0,1476.93,large
6.55,21.62,17.59,45532.0,89.94,medium
11.54,22.83,28.55,180038.0,374.07,large
1.33,5.95,54.76,14869.0,112.5,small
3.71,12.19,29.99,261721.0,772.77,superLarge
14.1,31.68,22.98,7322564.0,2097.71,superLarge
5.8,15.83,17.01,26436.0,644.75,medium
5.83,17.61,26.78,12183.0,145.2,small
4.07,14.21,21.25,16023.0,560.71,small
8.18,22.43,15.11,24692.0,204.23,small
2.73,7.59,48.93,13842.0,347.97,small
6.71,21.49,14.45,88693.0,894.51,large
12.99,26.49,14.51,11235.0,1143.9,small
15.88,37.55,10.76,28259.0,724.95,medium
23.94,44.84,10.82,11162.0,1487.34,small
36.26,51.16,11.63,122899.0,689.42,large
12.54,31.33,12.33,20714.0,49.93,small
3.9,13.97,26.0,11856.0,16.72,small
5.6,17.5,14.84,19050.0,649.83,small
12.32,30.95,9.97,11961.0,346.97,small
21.8,43.91,11.92,15655.0,1770.94,small
4.93,24.25,10.32,23302.0,609.81,small
18.51,38.54,15.58,45226.0,559.55,medium
2.43,8.38,35.77,26167.0,205.56,medium
14.84,29.08,17.61,84474.0,512.19,large
8.47,31.19,7.88,27623.0,734.61,medium
17.59,36.09,12.26,52141.0,919.33,large
18.52,37.05,15.82,16162.0,682.23,small
5.59,20.23,16.51,66473.0,131.47,large
2.39,5.87,49.02,23170.0,794.41,small
42.31,61.8,6.31,12849.0,420.91,small
20.78,39.87,11.26,18540.0,92.91,small
3.6,10.57,46.95,31971.0,1087.25,medium
3.26,9.16,47.0,14790.0,237.45,small
9.68,30.32,9.41,34075.0,212.87,medium
8.57,26.84,14.06,332943.0,984.96,superLarge
11.29,35.69,15.22,1585577.0,1279.6,superLarge
3.72,8.34,57.22,82585.0,256.34,large
4.72,15.77,26.17,29721.0,142.7,medium
13.61,30.52,21.74,66049.0,753.42,large
4.37,13.22,38.29,21847.0,122.69,small
18.33,37.36,16.96,26184.0,1849.3,medium
5.36,18.76,18.31,101484.0,566.64,large
15.8,25.73,13.05,12727.0,51.91,small
3.8,11.01,37.21,33626.0,94.97,medium
6.21,16.34,28.98,22430.0,422.05,small
8.16,25.83,13.65,13352.0,452.4,small
9.07,21.74,20.9,10637.0,407.12,small
12.59,29.21,21.73,165121.0,1693.42,large
11.55,25.51,16.96,10836.0,462.24,small
4.57,12.02,41.42,21160.0,115.14,small
8.71,20.02,24.89,29208.0,78.65,medium
14.83,31.36,14.2,12839.0,985.03,small
1.05,6.93,29.42,75058.0,131.68,large
13.83,33.47,18.06,14988.0,1134.5,small
9.36,21.39,20.71,405390.0,969.6,superLarge
5.04,18.12,20.42,23330.0,251.24,small
19.73,41.2,11.11,11967.0,934.12,small
3.63,11.2,26.55,25925.0,377.97,medium
3.69,14.63,19.66,10466.0,889.65,small
